CountyName,OwnerName_Grouped,OwnerName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,PropType,TotalAcres,Rank
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,229.77,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,273.28,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,75.23,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,553.74,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,638.28,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,480.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,160.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,27.12,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,564.05,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,303.2,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,607.44,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,593.63,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,903.68,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,146.24,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,759.16,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,264.64,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,904.2,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,586.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,173.3,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
